tweet_id,created_at,text,likes,retweets,sentiment,sentiment_category,hashtag,momentum,momentum_status,user_location,topic_keywords
1000000000000000000,2026-01-08 13:10:47,Demo tweet 1000000000000000000 about #Python (sentiment 0.766),98,90,0.766,Positive,#Python,154.58,Exploding,London,"demo, python, sentiment"
1000000000000000001,2026-01-08 12:24:47,Demo tweet 1000000000000000001 about #Python (sentiment 0.026),186,23,0.026,Neutral,#Python,147.08,Stable,Berlin,"demo, python, sentiment"
1000000000000000002,2026-01-08 12:20:47,Demo tweet 1000000000000000002 about #Python (sentiment -0.348),41,87,-0.348,Negative,#Python,79.16,Stable,London,"demo, python, sentiment"
1000000000000000003,2026-01-08 12:20:47,Demo tweet 1000000000000000003 about #Python (sentiment -0.001),100,10,-0.001,Neutral,#Python,76.97,Stable,Berlin,"demo, python, sentiment"
1000000000000000004,2026-01-08 12:55:47,Demo tweet 1000000000000000004 about #Python (sentiment 0.54),69,30,0.54,Positive,#Python,85.5,Stable,Berlin,"demo, python, sentiment"
1000000000000000005,2026-01-08 12:47:47,Demo tweet 1000000000000000005 about #AI (sentiment 0.013),37,86,0.013,Neutral,#AI,86.49,Stable,,"ai, demo, sentiment"
1000000000000000006,2026-01-08 13:02:47,Demo tweet 1000000000000000006 about #AI (sentiment -0.029),137,96,-0.029,Neutral,#AI,162.23,Exploding,Tokyo,"ai, demo, sentiment"
1000000000000000007,2026-01-08 12:25:47,Demo tweet 1000000000000000007 about #AI (sentiment 0.39),15,18,0.39,Positive,#AI,34.8,Stable,New York,"ai, demo, sentiment"
1000000000000000008,2026-01-08 12:17:47,Demo tweet 1000000000000000008 about #AI (sentiment 0.639),133,38,0.639,Positive,#AI,138.87,Stable,New York,"ai, demo, sentiment"
1000000000000000009,2026-01-08 12:32:47,Demo tweet 1000000000000000009 about #AI (sentiment -0.076),191,72,-0.076,Neutral,#AI,181.82,Exploding,Paris,"ai, demo, sentiment"
1000000000000000010,2026-01-08 12:50:47,Demo tweet 1000000000000000010 about #DataScience (sentiment 0.076),16,84,0.076,Neutral,#DataScience,72.28,Stable,,"datascience, demo, sentiment"
1000000000000000011,2026-01-08 12:37:47,Demo tweet 1000000000000000011 about #DataScience (sentiment 0.327),189,24,0.327,Positive,#DataScience,158.91,Exploding,London,"datascience, demo, sentiment"
1000000000000000012,2026-01-08 12:58:47,Demo tweet 1000000000000000012 about #DataScience (sentiment 0.022),68,86,0.022,Neutral,#DataScience,108.46,Stable,London,"datascience, demo, sentiment"
1000000000000000013,2026-01-08 12:16:47,Demo tweet 1000000000000000013 about #DataScience (sentiment 0.823),124,17,0.823,Positive,#DataScience,123.39,Stable,Paris,"datascience, demo, sentiment"
1000000000000000014,2026-01-08 12:36:47,Demo tweet 1000000000000000014 about #DataScience (sentiment 0.674),46,94,0.674,Positive,#DataScience,118.22,Stable,Tokyo,"datascience, demo, sentiment"
1000000000000000015,2026-01-08 13:39:47,Demo tweet 1000000000000000015 about #Python (sentiment 0.146),115,8,0.146,Positive,#Python,90.48,Stable,Tokyo,"demo, python, sentiment"
1000000000000000016,2026-01-08 13:37:47,Demo tweet 1000000000000000016 about #Python (sentiment 0.077),102,7,0.077,Neutral,#Python,78.61,Stable,,"demo, python, sentiment"
1000000000000000017,2026-01-08 13:19:47,Demo tweet 1000000000000000017 about #Python (sentiment 0.451),44,23,0.451,Positive,#Python,60.43,Stable,Tokyo,"demo, python, sentiment"
1000000000000000018,2026-01-08 14:05:47,Demo tweet 1000000000000000018 about #Python (sentiment 0.923),158,44,0.923,Positive,#Python,169.09,Exploding,Tokyo,"demo, python, sentiment"
1000000000000000019,2026-01-08 13:34:47,Demo tweet 1000000000000000019 about #Python (sentiment -0.72),75,35,-0.72,Negative,#Python,55.4,Stable,London,"demo, python, sentiment"
1000000000000000020,2026-01-08 14:05:47,Demo tweet 1000000000000000020 about #AI (sentiment 0.304),131,64,0.304,Positive,#AI,145.62,Stable,London,"ai, demo, sentiment"
